Iso,SignedP,,,,,,
AIPGENE9664,-0.161680873,,,,,,
AIPGENE8448,-0.521528158,,,,,,
AIPGENE18026,-6,,,,,,
AIPGENE28338,-0.630501252,,,,,,
AIPGENE19168,-1.71667247,,,,,,
AIPGENE19098,-6,,,,,,
AIPGENE28452,-0.640768951,,,,,,
AIPGENE11277,-0.608140533,,,,,,
AIPGENE25894,-3.153020864,,,,,,
AIPGENE9885,-6,,,,,,
AIPGENE9024,-2.63614176,,,,,,
AIPGENE9678,-1.806842929,,,,,,
AIPGENE7791,-0.602748196,,,,,,
AIPGENE10624,-0.360328574,,,,,,
AIPGENE27223,-1.76911418,,,,,,
AIPGENE2766,-0.482341812,,,,,,
AIPGENE8563,-1.091026739,,,,,,
AIPGENE26220,-2.041926513,,,,,,
AIPGENE11674,-0.225603905,,,,,,
AIPGENE21758,-0.20038697,,,,,,
AIPGENE26968,-0.804622277,,,,,,
AIPGENE13196,-0.548758287,,,,,,
AIPGENE2997,-1.644997956,,,,,,
AIPGENE7549,-6,,,,,,
AIPGENE11660,-6,,,,,,
AIPGENE6349,-1.533852084,,,,,,
AIPGENE18835,-6,,,,,,
AIPGENE27618,-6,,,,,,
AIPGENE27122,-6,,,,,,
AIPGENE12315,-1.358625606,,,,,,
AIPGENE16999,-1.209822062,,,,,,
AIPGENE23314,-1.096944984,,,,,,
AIPGENE23500,-1.088320612,,,,,,
AIPGENE28078,-0.728681843,,,,,,
AIPGENE981,-0.630887317,,,,,,
AIPGENE19056,-1.296601795,,,,,,
AIPGENE29076,-0.54904738,,,,,,
AIPGENE28330,-1.866387946,,,,,,
AIPGENE17146,-2.028732883,,,,,,
AIPGENE29161,-6,,,,,,
AIPGENE22642,-6,,,,,,
AIPGENE13576,-2.964189237,,,,,,
AIPGENE26449,-0.645545271,,,,,,
AIPGENE14868,-0.686147824,,,,,,
AIPGENE24010,-2.32461349,,,,,,
AIPGENE21388,-2.126436691,,,,,,
AIPGENE10735,-3.14011143,,,,,,
AIPGENE14027,-2.924981322,,,,,,
AIPGENE15071,-2.756154625,,,,,,
AIPGENE4920,-3.185184267,,,,,,
AIPGENE26206,-1.052661864,,,,,,
AIPGENE9447,-1.18916838,,,,,,
AIPGENE6703,-6,,,,,,
AIPGENE11659,-6,,,,,,
AIPGENE15535,-0.530336653,,,,,,
AIPGENE13384,-1.89029103,,,,,,
AIPGENE28041,-0.696071536,,,,,,
AIPGENE28244,-0.948809421,,,,,,
AIPGENE16193,-0.705141709,,,,,,
AIPGENE5542,-1.1957597,,,,,,
AIPGENE9049,-6,,,,,,
AIPGENE15155,-0.559835747,,,,,,
AIPGENE13510,-0.736971309,,,,,,
AIPGENE5333,-2.573469536,,,,,,
AIPGENE5263,-0.499261967,,,,,,
AIPGENE8259,-6,,,,,,
AIPGENE15503,-1.842330441,,,,,,
AIPGENE1092,-1.014012815,,,,,,
AIPGENE19620,-2.827619883,,,,,,
AIPGENE18649,-1.026362482,,,,,,
AIPGENE9508,-1.318209887,,,,,,
AIPGENE5651,-2.26497841,,,,,,
AIPGENE24036,-6,,,,,,
AIPGENE22999,-0.594438293,,,,,,
AIPGENE15779,-0.882812425,,,,,,
AIPGENE10053,-1.155177937,,,,,,
AIPGENE12718,-1.436292344,,,,,,
AIPGENE24564,-6,,,,,,
AIPGENE13762,-2.93651297,,,,,,
AIPGENE21790,-0.314734237,,,,,,
AIPGENE8869,-0.944149376,,,,,,
AIPGENE17997,-0.501946174,,,,,,
AIPGENE9094,-2.319684769,,,,,,
AIPGENE5888,-0.702774641,,,,,,
AIPGENE14147,-0.422902452,,,,,,
AIPGENE13296,-1.039517217,,,,,,
AIPGENE25112,-6,,,,,,
AIPGENE10814,-1.210686669,,,,,,
AIPGENE17807,-6,,,,,,
AIPGENE15834,-0.771875604,,,,,,
AIPGENE17711,-6,,,,,,
AIPGENE18200,-1.558542704,,,,,,
AIPGENE11426,-2.195122812,,,,,,
AIPGENE3520,-0.848997505,,,,,,
AIPGENE1606,-2.566725243,,,,,,
AIPGENE5509,-6,,,,,,
AIPGENE18767,-1.481509964,,,,,,
AIPGENE14017,-6,,,,,,
AIPGENE11842,-0.521368856,,,,,,
AIPGENE1238,-1.19466675,,,,,,
AIPGENE17825,-0.926741343,,,,,,
AIPGENE25867,-2.615456523,,,,,,
AIPGENE24157,-1.209518256,,,,,,
AIPGENE17291,-1.338366925,,,,,,
AIPGENE8630,-6,,,,,,
AIPGENE20502,-1.813399985,,,,,,
